time,open,high,low,close,HH 2/2,LH 2/2,HL 2/2,LL 2/2,HH 5/5,LH 5/5,HL 5/5,LL 5/5,ВХОД,Запрет структуры,Запрет (буква),Против тренда,Против тренда (буква),Слом,Слом (буква),Заморозка,Заморозка (буква),Бол.свеча,Бол.свеча (буква),Нет RR,Нет RR (буква),Стоп-неделя,Фильтр БОК+LONG,Прочее
2026-08-20T15:40:00+03:00,4463.365,4467.32,4460.15,4466.825,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:45:00+03:00,4466.8,4471.685,4464.17,4471.555,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:50:00+03:00,4471.54,4475.445,4470.175,4472.07,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T15:55:00+03:00,4472.075,4477.1,4471.745,4474.855,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T16:00:00+03:00,4474.875,4484.62,4473.715,4478.56,4484.62,,,,,4484.62,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T16:05:00+03:00,4478.57,4480.355,4473.195,4473.77,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T16:10:00+03:00,4473.755,4475.935,4471.89,4472.83,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T16:15:00+03:00,4472.82,4476.755,4471.04,4474.845,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026-08-20T16:20:00+03:00,4474.905,4476.725,4471.53,4474.24,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T16:25:00+03:00,4474.23,4474.49,4470.285,4471.87,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T16:30:00+03:00,4471.91,4477.425,4469.35,4475.94,,,4469.35,,,,4469.35,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-20T16:35:00+03:00,4475.935,4486.635,4474.805,4483.85,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T16:40:00+03:00,4483.795,4488.02,4477.88,4486.59,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T16:45:00+03:00,4486.605,4489.335,4480.12,4482.185,4489.335,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T16:50:00+03:00,4482.165,4486.595,4481.07,4485.955,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T16:55:00+03:00,4485.895,4486.83,4479.405,4481.715,,,4479.405,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:00:00+03:00,4481.705,4490.715,4481.605,4483.34,4490.715,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:05:00+03:00,4483.385,4486.81,4480.87,4485.465,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:10:00+03:00,4485.47,4489.155,4483.58,4485.12,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:15:00+03:00,4485.11,4489.605,4481.835,4482.11,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:20:00+03:00,4482.145,4494.055,4481.79,4490.865,,,4481.79,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:25:00+03:00,4490.8,4493.18,4486.81,4491.8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:30:00+03:00,4491.81,4497.08,4491.81,4494.345,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:35:00+03:00,4494.395,4500.795,4493.115,4496.075,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:40:00+03:00,4496.07,4501.2,4493.895,4499.245,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-08-20T17:45:00+03:00,4499.165,4508.86,4498.695,4508.12,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:50:00+03:00,4508.095,4510.58,4504.775,4509.98,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T17:55:00+03:00,4509.975,4516.315,4509.44,4516.06,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T18:00:00+03:00,4516.145,4536.68,4515.135,4535.795,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T18:05:00+03:00,4535.66,4536.575,4522.39,4524.67,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T18:10:00+03:00,4524.725,4537.405,4521.715,4535.135,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T18:15:00+03:00,4535.11,4541.045,4530.535,4539.88,4541.045,,,,4541.045,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T18:20:00+03:00,4539.875,4540.97,4523.63,4527.255,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
